iter	Logloss
0	0.6277749204
1	0.5775700621
2	0.534404468
3	0.5168116278
4	0.4908059413
5	0.4722030252
6	0.4543128145
7	0.4460907636
8	0.4338343686
9	0.4228383414
10	0.415108211
11	0.4063523879
12	0.4013766514
13	0.3935718595
14	0.3873170805
15	0.3814009358
16	0.3781255697
17	0.3729185705
18	0.3685979344
19	0.3673037114
20	0.3624893025
21	0.3597509753
22	0.3586268613
23	0.3555140867
24	0.3531842035
25	0.3513470611
26	0.3509399808
27	0.3501896531
28	0.3490001181
29	0.3476045123
30	0.3447963187
31	0.3440045462
32	0.3432321342
33	0.3417789698
34	0.3404790448
35	0.3395671598
36	0.3379470351
37	0.3370751468
38	0.3354998522
39	0.3354094962
40	0.3344344243
41	0.3339300726
42	0.3321355253
43	0.3321057623
44	0.3304530422
45	0.3301292457
46	0.3299635823
47	0.3282134481
48	0.3277002535
49	0.3274735336
50	0.3264946973
51	0.3258050718
52	0.3233526062
53	0.3220076855
54	0.3206238001
55	0.320462906
56	0.3204265727
57	0.3193944408
58	0.318055761
59	0.3159565405
60	0.3140588896
61	0.3134384158
62	0.3127667755
63	0.3122865653
64	0.3108735167
65	0.3089487414
66	0.3080187923
67	0.3072177841
68	0.3058400102
69	0.3050094122
70	0.3025371844
71	0.3025005571
72	0.2999827758
73	0.2999827684
74	0.298665579
75	0.2977425575
76	0.2964417207
77	0.2963675428
78	0.2944599755
79	0.2935650978
80	0.2930389024
81	0.2915360465
82	0.2912769449
83	0.2906611363
84	0.2893431496
85	0.2888755955
86	0.2876937485
87	0.2871628633
88	0.2862016588
89	0.2849877987
90	0.2836883875
91	0.2832234609
92	0.2824918431
93	0.2805085704
94	0.2801598639
95	0.2792091593
96	0.2771825524
97	0.2771161485
98	0.2759847571
99	0.275402657
100	0.2751723209
101	0.2747432163
102	0.2737450462
103	0.2735039565
104	0.2734983586
105	0.2732221974
106	0.2703388724
107	0.26962506
108	0.2679714996
109	0.2665357419
110	0.2662793365
111	0.2658683362
112	0.2656254671
113	0.2655860312
114	0.2655045517
115	0.2635837713
116	0.2629248445
117	0.2619179215
118	0.2606721436
119	0.2601818861
120	0.2600659572
121	0.2588164925
122	0.2581928435
123	0.2570614268
124	0.2568865241
125	0.2565141454
126	0.2558014642
127	0.2555898
128	0.2549945292
129	0.2517232215
130	0.2504453654
131	0.2496507561
132	0.249390147
133	0.2482637201
134	0.2482615512
135	0.2474703494
136	0.2453950934
137	0.244685673
138	0.2444514289
139	0.2433447943
140	0.2427428574
141	0.2422316874
142	0.241316957
143	0.2392626009
144	0.2387273859
145	0.2384733105
146	0.2368299553
147	0.2355621894
148	0.2355040448
149	0.2351494923
150	0.2344574421
151	0.2339954043
152	0.2339137268
153	0.2337403158
154	0.2315005826
155	0.2293282449
156	0.2291184078
157	0.228394453
158	0.228268403
159	0.2259991461
160	0.2244728366
161	0.2238856958
162	0.2226426434
163	0.2222059707
164	0.2204575189
165	0.2190917306
166	0.2184260634
167	0.2179981765
168	0.2170123983
169	0.216501568
170	0.2158326587
171	0.2152724402
172	0.2148024983
173	0.2129655983
174	0.2128864977
175	0.2124377021
176	0.2124060955
177	0.2122844605
178	0.2113269532
179	0.2105806523
180	0.2103817976
181	0.2100063748
182	0.2087246758
183	0.207998955
184	0.2070924107
185	0.2068542966
186	0.2067712949
187	0.2062270045
188	0.2053262578
189	0.2053053355
190	0.2050816356
191	0.2046987878
192	0.2045758242
193	0.2041485036
194	0.2036905389
195	0.2034303528
196	0.2028663907
197	0.2028169243
198	0.2018232003
199	0.201323904
